taget,date,day,times,open,high,low,close,volume,MA.MA1,MA.MA2,MA.MA3,MA.MA4,VOL-TDX.VOLUME,VOL-TDX.MAVOL1,VOL-TDX.MAVOL2,MACD.DIF,MACD.DEA,MACD.MACD
202307171302 , 2023/07/17 13:02,2023/7/17,13:02,2513.2,2513.49,2512.67,2513.04,15250,2513.16,2513.65,2515.02,2515.31,15250,15451,14221,-0.77,-0.55,-0.43
202307171303 , 2023/07/17 13:03,2023/7/17,13:03,2513.61,2514.07,2512.87,2514.07,10938,2513.42,2513.67,2514.89,2515.28,10938,15867,12865,-0.7,-0.58,-0.24
202307171304 , 2023/07/17 13:04,2023/7/17,13:04,2513.9,2513.9,2512.25,2512.96,10100,2513.37,2513.54,2514.69,2515.23,10100,16261,12928,-0.73,-0.61,-0.24
202307171305 , 2023/07/17 13:05,2023/7/17,13:05,2513.13,2513.15,2512.19,2512.83,11726,2513.37,2513.35,2514.49,2515.19,11726,16252,13200,-0.76,-0.64,-0.23
202307171306 , 2023/07/17 13:06,2023/7/17,13:06,2512.94,2514.44,2512.78,2514.44,12308,2513.47,2513.28,2514.34,2515.17,12308,12064,13699,-0.64,-0.64,0.01
202307171307 , 2023/07/17 13:07,2023/7/17,13:07,2514.03,2514.52,2513.87,2514.36,10585,2513.73,2513.45,2514.19,2515.17,10585,11131,13291,-0.54,-0.62,0.15
202307171308 , 2023/07/17 13:08,2023/7/17,13:08,2514.18,2515.03,2514.01,2514.51,9666,2513.82,2513.62,2514.1,2515.18,9666,10877,13372,-0.45,-0.59,0.27
202307171309 , 2023/07/17 13:09,2023/7/17,13:09,2514.58,2515.25,2514.14,2514.18,9184,2514.06,2513.72,2514.03,2515.18,9184,10694,13477,-0.4,-0.55,0.3
202307171310 , 2023/07/17 13:10,2023/7/17,13:10,2514.77,2515.47,2514.53,2514.92,8065,2514.48,2513.93,2513.97,2515.19,8065,9962,13107,-0.3,-0.5,0.4
202307171311 , 2023/07/17 13:11,2023/7/17,13:11,2514.88,2514.98,2514.3,2514.8,7306,2514.55,2514.01,2513.91,2515.2,7306,8961,10513,-0.23,-0.45,0.44
202307171312 , 2023/07/17 13:12,2023/7/17,13:12,2514.84,2515.61,2514.73,2515.24,7400,2514.73,2514.23,2513.94,2515.2,7400,8324,9728,-0.13,-0.38,0.51
202307171313 , 2023/07/17 13:13,2023/7/17,13:13,2515.15,2515.45,2514.76,2515.02,8268,2514.83,2514.33,2514,2515.21,8268,8045,9461,-0.07,-0.32,0.5
202307171314 , 2023/07/17 13:14,2023/7/17,13:14,2515.1,2515.56,2514.78,2515.56,7629,2515.11,2514.59,2514.06,2515.23,7629,7734,9214,0.02,-0.25,0.54
202307171315 , 2023/07/17 13:15,2023/7/17,13:15,2514.83,2515.33,2514.83,2515.05,7766,2515.13,2514.81,2514.08,2515.23,7766,7674,8818,0.05,-0.19,0.48
202307171316 , 2023/07/17 13:16,2023/7/17,13:16,2515.13,2515.13,2513.41,2513.82,14247,2514.94,2514.75,2514.01,2515.23,14247,9062,9012,-0.03,-0.16,0.27
202307171317 , 2023/07/17 13:17,2023/7/17,13:17,2514.13,2514.13,2513.31,2513.81,9030,2514.65,2514.69,2514.07,2515.22,9030,9388,8856,-0.09,-0.14,0.12
202307171318 , 2023/07/17 13:18,2023/7/17,13:18,2513.74,2514.28,2513.52,2514.06,7711,2514.46,2514.65,2514.13,2515.21,7711,9277,8661,-0.11,-0.14,0.05
202307171319 , 2023/07/17 13:19,2023/7/17,13:19,2514.03,2514.7,2513.74,2514.7,8620,2514.29,2514.7,2514.21,2515.19,8620,9475,8604,-0.08,-0.13,0.09
202307171320 , 2023/07/17 13:20,2023/7/17,13:20,2515,2515.21,2514.5,2514.79,8220,2514.24,2514.69,2514.31,2515.18,8220,9566,8620,-0.05,-0.11,0.13
202307171321 , 2023/07/17 13:21,2023/7/17,13:21,2514.65,2515.49,2514.46,2515.49,9445,2514.57,2514.75,2514.38,2515.18,9445,8605,8834,0.04,-0.08,0.23
202307171322 , 2023/07/17 13:22,2023/7/17,13:22,2515.6,2516.09,2515.32,2515.58,9521,2514.92,2514.79,2514.51,2515.17,9521,8703,9046,0.11,-0.04,0.3
202307171323 , 2023/07/17 13:23,2023/7/17,13:23,2515.78,2515.78,2514.01,2514.64,16055,2515.04,2514.75,2514.54,2515.15,16055,10372,9824,0.09,-0.02,0.21
202307171324 , 2023/07/17 13:24,2023/7/17,13:24,2515.19,2515.19,2513.67,2513.67,8721,2514.83,2514.56,2514.57,2515.1,8721,10392,9934,-0.01,-0.01,0.02
202307171325 , 2023/07/17 13:25,2023/7/17,13:25,2513.82,2514.46,2513.58,2514.21,9067,2514.72,2514.48,2514.64,2515.06,9067,10562,10064,-0.04,-0.02,-0.04
202307171326 , 2023/07/17 13:26,2023/7/17,13:26,2514.42,2514.42,2513.74,2514.36,9172,2514.49,2514.53,2514.64,2515.02,9172,10507,9556,-0.05,-0.02,-0.05
202307171327 , 2023/07/17 13:27,2023/7/17,13:27,2514.23,2514.68,2513.84,2514.31,10770,2514.24,2514.58,2514.64,2514.99,10770,10757,9730,-0.06,-0.03,-0.06
202307171328 , 2023/07/17 13:28,2023/7/17,13:28,2514.02,2514.56,2514,2514.33,9366,2514.18,2514.61,2514.63,2514.95,9366,9419,9896,-0.07,-0.04,-0.06
202307171329 , 2023/07/17 13:29,2023/7/17,13:29,2514.51,2514.74,2513.64,2514.44,10271,2514.33,2514.58,2514.64,2514.91,10271,9729,10061,-0.07,-0.04,-0.04
202307171330 , 2023/07/17 13:30,2023/7/17,13:30,2514.15,2514.19,2513.54,2513.99,9616,2514.29,2514.5,2514.59,2514.89,9616,9839,10200,-0.1,-0.06,-0.08
202307171331 , 2023/07/17 13:31,2023/7/17,13:31,2514.11,2514.4,2513.52,2514.27,10138,2514.27,2514.38,2514.57,2514.89,10138,10032,10270,-0.1,-0.06,-0.07
202307171332 , 2023/07/17 13:32,2023/7/17,13:32,2514.25,2514.45,2513.86,2514.24,8165,2514.25,2514.25,2514.52,2514.89,8165,9511,10134,-0.1,-0.07,-0.06
